"Zoznam webových sídiel, ku ktorým boli vydané príkazy súdu na zamedzenie prístupu k webovému sídlu, 
zostavený dňa 27. 06. 2024";;;;
Zoznam má informatívny charakter. Povinnosť zamedziť prístup k webovému sídlu vzniká až doručením príkazu súdu poskytovateľovi internetu. Príkazy súdu uvedené v zozname nemusia byť ešte v čase zverejnenia doručené poskytovateľovi internetu. Zoznam neobsahuje príkazy súdu, ktoré boli zrušené. Zoznam neobsahuje príkazy súdu k blokovaniu účtov.;;;;
;web;zamedzenie v rozsahu domény;príkaz súdu č.;príkaz súdu zo dňa
212;https://ice-cazino28.com;ice-cazino28.com;4Ntn/1/2024;26.3.2024
213;https://spinbetter4.com;spinbetter4.com;1Ntn/1/2024;26.3.2024
214;https://spinbetter2.com;spinbetter2.com;3Ntn/4/2024;27.3.2024
215;https://icecasino6.com;icecasino6.com;4Ntn/5/2024;28.3.2024
216;https://22-bet.sk;22-bet.sk;1Ntn/4/2024;7.5.2024
217;https://14icecazino.com;14icecazino.com;1Ntn/3/2024;9.5.2024
218;https://22bet.sk;22bet.sk;3Ntn/7/2024;9.5.2024
219;https://22bet.online;22bet.online;4Ntn/7/2024;10.5.2024
220;http://csgocases.com;csgocases.com;4Ntn/8/2024;10.5.2024
221;https://ggdrop.com;ggdrop.com;4Ntn/6/2024;10.5.2024
222;https://lunubet1.com;lunubet1.com;3Ntn/11/2024;28.5.2024
223;https://spinanga5.com;spinanga5.com;3Ntn/9/2024;28.5.2024
224;https://quickwin1.com;quickwin1.com;4Ntn/9/2024;29.5.2024
225;https://palmslots.com;palmslots.com;4Ntn/10/2024;30.5.2024
226;https://houseofspades1.com;houseofspades1.com;1Ntn/5/2024;30.5.2024
227;https://myempire1.com;myempire1.com;3Ntn/10/2024;31.5.2024
228;https://casinoly1.com;casinoly1.com;3Ntn/8/2024;31.5.2024
229;https://www.kajot-casino-prime.com;kajot-casino-prime.com;3Ntn/13/2024;18.6.2024
230;https://casinohex.sk;casinohex.sk;1Ntn/7/2024;19.6.2024
231;https://casinobonusesfinder.com;casinobonusesfinder.com;4Ntn/13/2024;19.6.2024
232;https://22bet-top.com;22bet-top.com;1Ntn/6/2024;20.6.2024
233;https://yukongold.casino;yukongold.casino;3Ntn/12/2024;21.6.2024
234;https://22bet-bet.com;22bet-bet.com;4Ntn/12/2024;24.6.2024
235;https://rabona5.com;rabona5.com;4Ntn/11/2024;24.6.2024
